Feature_Vector,Image,Label
"[156.0768344730227, 157.16420025697926, 113.01723861351748, 80.89765529759977, 78.02697002043317, 69.8420261134928, 123.25422125062997, 149.82218541741554, 0.002181637851250813, 0.0012589521767455336, 0.001955479535985372, 0.001737600648653071]",Seated_Pose_1.jpg,correct
"[141.32004787147855, 144.69368834666875, 21.994697822337436, 46.782728240327614, 38.823660981012594, 22.75702864511379, 164.97427010407716, 145.42069051879034, 0.0006906194970435298, 0.00032237486443388905, 0.0004032113335081356, 0.00014715891238277845]",Seated_Pose_10.jpg,correct
"[39.120327546786676, 91.37706737187236, 116.09489736836183, 125.14931520871289, 142.8987889292556, 52.233001992184136, 99.64378091802611, 135.24752068622712, 0.0002506869378251517, 0.0009223209235364292, 0.001026026138805067, 0.0011929201451157166]",Seated_Pose_100.jpg,incorrect
"[155.67012977869533, 160.58340820385797, 128.61234029154747, 94.94306715997298, 59.651168999732626, 29.509365167303372, 35.40109032146759, 41.59243440736276, 0.0012969085883487302, 0.0006247664083370367, 0.0009646991142395481, 0.0011584629705778133]",Seated_Pose_101.jpg,correct
"[145.14305482772556, 133.74501480906926, 74.26741457771737, 91.57184505750024, 105.23161632111929, 137.18147176347063, 149.12507530479172, 155.2819877949526, 0.0011211795222129237, 0.00030944033369257863, 0.0007802725316342727, 0.00047238630461159646]",Seated_Pose_104.jpg,correct
"[125.26491523213195, 103.44244185101387, 58.58135934520659, 50.76347630490667, 67.81992659523179, 47.056106641536125, nan, nan, 0.0013589888704535135, 0.00011393230087226516, 0.0012037130118709792, 0.00027013744051055804]",Seated_Pose_105.jpg,incorrect
"[141.00228618869994, 140.065165076961, 36.105960034092014, 35.91262594763933, 59.92247041517266, 87.94928784754298, 154.11446663563433, 69.19451394110578, 0.0013363884245138947, 0.0005386722658708582, 0.0007979520691409974, 0.0003275923721862568]",Seated_Pose_106.jpg,correct
"[148.50404251277104, 156.3321386568064, 77.92349409742101, 116.0392124959162, 71.89189728921235, 83.86917228353659, nan, nan, 0.002339212121055294, 0.0003024820850950583, 0.003109497022872794, 0.0006173746213572842]",Seated_Pose_108.jpg,correct
"[97.9206828123573, 130.48892902308776, 160.4056600149925, 178.3865696040352, 129.58298478575875, 147.53973539369088, 177.94209731960228, 164.9882743401962, 0.0021303252137859574, 0.0015110340919282446, 0.0023255973549608988, 0.002793100433349116]",Seated_Pose_110.jpg,incorrect
"[96.20606511075344, 102.03815973544187, 16.95000382796749, 21.71259669212508, 99.6637047428203, 86.53133196695389, 109.93890532432155, 152.42600122488255, 0.0012519537184065602, 0.00158020679137497, 0.0008001904669815922, 0.0007399967672700465]",Seated_Pose_111.jpg,incorrect
"[145.4417945768581, 121.26680220728308, 165.86674187785366, 129.4604150812143, 117.0305975393479, 111.13183232410647, 47.84975553788543, 83.53240454394906, 0.0005621955331597484, 0.0005725737765946057, 7.261008617520509e-05, 0.000867027095057509]",Seated_Pose_120.jpg,correct
"[112.57525229830253, 103.36787093130273, 143.4520228570389, 169.4536643947619, 134.56097539944625, 131.37730916681468, 133.51974522954, 170.73703747194057, 0.0009181853302998259, 0.0005513577403948976, 0.001142659718947065, 0.0007884110930136671]",Seated_Pose_121.jpg,correct
"[143.74934467584546, 111.41295366291786, 177.62045008349844, 166.46908691035742, 10.258888360845326, 32.056310609728314, 139.31184422686437, 175.52119999974065, 0.0014573783105404586, 0.001396902085485434, 0.0016689108311866803, 0.0027790128146751485]",Seated_Pose_122.jpg,correct
