Feature_Vector,Image,Label
"[153.02884625455658, 140.42298546430868, 102.58037652155627, 172.65651165407533, 35.15128756724172, 43.90951532161572, 146.67855540502515, 151.38951442905616, 0.001193754656616575, 0.0010263049890395295, 0.001143237944214325, 0.00143392615464812]",Warrior_Pose_0.jpg,correct
"[172.8308718036034, 168.62190065621257, 158.31181519404112, 114.40689805617542, 27.595760010162024, 16.16357819166319, 141.5447337018098, 147.2841568447095, 0.000806788189739038, 0.000544786161007584, 0.00090626704701949, 0.0010612913278586732]",Warrior_Pose_1.jpg,correct
"[174.30911694112828, 169.24974876612382, 121.04596889806973, 165.14150507292499, 0.12015377602611935, 9.536887646950847, 143.17231274270046, 154.051647485193, 0.0007535670152845565, 0.0005632008931563128, 0.0009050612596404802, 0.0010994280396154578]",Warrior_Pose_10.jpg,correct
"[163.30536049244833, 174.57504793723942, 167.3974824054725, 135.18476887896162, 131.61893271156856, 179.30177684532254, 176.63977751340025, 154.49361647548798, 0.0008229006162212302, 0.0005279910927956955, 0.0009591936613703698, 0.001041685454623981]",Warrior_Pose_100.jpg,correct
"[172.59514666855503, 170.4868174810207, 70.4859251503706, 162.04431297878907, 4.788058392597587, 11.844772601839633, 149.35078908632744, 159.10421652843712, 0.0005047177541046078, 0.0004752504392156192, 0.0007942823544379522, 0.0007578648645563263]",Warrior_Pose_101.jpg,correct
"[166.2885662069697, 168.73971575339425, 171.7819205632989, 174.35810553881066, 50.072313936671094, 155.9542530302775, 171.25861731235585, 146.83142609082543, 0.0008481813193109256, 0.0006614874404675611, 0.000816880241445034, 0.001291030962072478]",Warrior_Pose_102.jpg,correct
"[172.67453529074064, 175.6556547648679, 122.69689002920525, 103.16079448448771, 1.389788652596088, 30.72545207476266, 165.58711708728794, 148.59062801955372, 0.0008010716132581568, 0.0003336328740126118, 0.0008802744718099737, 0.000871717890440618]",Warrior_Pose_103.jpg,correct
"[179.15930501039227, 172.59280457313957, 174.56596488176345, 166.88486392242837, 23.4291353764246, 16.056367565535005, 176.15645866293133, 169.61161382538484, 0.0008153145570768963, 0.0005840021660951561, 0.0007833684300997193, 0.0010461040951518436]",Warrior_Pose_104.jpg,correct
"[169.08510314273272, 164.48185211563322, 68.46861815811634, 147.38378346753098, 8.673796556243259, 12.727056402526998, nan, nan, 0.00100025726762534, 0.00016262919338629265, 0.0023123780980058286, 0.0004289316609482324]",Warrior_Pose_106.jpg,correct
"[170.5869985371481, 170.49903623789018, 165.51104129139725, 124.72011190878038, 21.21998514889589, 13.794613079571109, 168.21477915154603, 154.05746621744248, 0.0011823447520075989, 0.0007715784831417241, 0.001057178222041779, 0.0014262753664753295]",Warrior_Pose_108.jpg,correct
"[115.85173741234267, 169.45009409637473, 87.77723298710242, 175.80872635432002, 145.7482661313483, 158.44434173449724, 176.82854260244463, 111.48829556467608, 0.0005428721982118064, 0.00030932695650315615, 0.0007982786129440648, 0.0005408172519206775]",Warrior_Pose_109.jpg,correct
"[176.72906942841252, 173.07221763461192, 83.97436081556384, 162.53101959802444, 31.486486852791458, 5.42467502509858, 148.90600979637156, 164.91431045016688, 0.0008346887755917683, 0.0008499621700688248, 0.0007545977704095416, 0.0010505430668985966]",Warrior_Pose_11.jpg,correct
"[178.32020152589976, 176.61198898589302, 130.9390627268384, 176.91140314944383, 3.623847533584347, 2.7485235771652388, 138.7619071761831, 91.7403168578439, 0.0009155559693901061, 0.0004895262010478346, 0.0009805728044878607, 0.0009546843846410959]",Warrior_Pose_110.jpg,correct
"[165.20375056262563, 148.51945467905404, 169.12135347869267, 165.69401730713227, 179.6189038325895, 170.83870342191352, 95.18607275239583, 43.77704691081267, 0.0013000634656519221, 0.0006974019056657531, 0.0007546833121175189, 0.0012530828041834858]",Warrior_Pose_111.jpg,correct
