Feature_Vector,Image,Label
"[154.5369398965102, 171.99844012242266, 147.4035462745315, 96.1765114486632, 145.0986582156431, 142.3924772844705, 125.42031369337225, 46.95798894232129, 0.002168514049517178, 0.0002955336647864382, 0.0025347344448473086, 0.0015999988033886337]",Bridge_Pose_0.jpg,correct
"[35.47272200474147, 146.84324681511413, 53.22096310878546, 61.70470922533789, 153.9057889352975, 173.36644173916812, 100.77880334639647, 138.6782116051221, 0.00026091918835650403, 0.0014825535792057918, 0.0013294684314941612, 0.001219427221636111]",Bridge_Pose_1.jpg,correct
"[170.68260931404103, 166.96216550550008, 176.12831106433808, 165.94045190012582, 125.73787417261963, 168.22682134449795, 176.70353694975046, 167.1868966782936, 0.0002813831678302096, 0.00044554465404212127, 0.0006890829423323802, 0.0008737522431640727]",Bridge_Pose_10.jpg,correct
"[164.20020744717905, 168.02989287536025, 170.61102941057757, 173.9610014580564, 157.00955444885938, 177.91941443438733, 152.20923749454226, 146.19927843125126, 0.0008097673523338206, 0.0005526100175393361, 0.0008495846085754739, 0.0012014449630640568]",Bridge_Pose_100.jpg,correct
"[133.8202577766764, 159.67771130915554, 155.03334544911408, 96.43705350222527, 137.2086966239421, 143.85916571891812, 176.2837088292955, 164.58674862213377, 0.0007247700083655836, 0.00035350601644813047, 0.0009407491516641408, 0.0008438146663274316]",Bridge_Pose_101.jpg,correct
"[169.70689843072577, 162.5223002449625, 68.96230591316501, 64.58647286498928, 176.06260147843983, 161.53244330868986, 141.63143400886256, 150.67151363781934, 0.001346597326146794, 0.0010664875865241319, 0.0014000365077902327, 0.0013398786891336417]",Bridge_Pose_102.jpg,correct
"[166.342687544295, 174.08192435483807, 61.593647659713824, 66.77309966561296, 179.8899702671846, 156.41197579149696, 143.13020317403445, 143.75723391719137, 0.0010268632248669363, 0.0008496740752180129, 0.001137440347619553, 0.0009502558394529211]",Bridge_Pose_104.jpg,correct
"[171.76297415483498, 158.67850516289022, 68.58506998929433, 57.737773088783, 161.80158107163385, 177.2339059288268, 123.9994740674099, 90.19929721968805, 0.001428132324072848, 0.0013006898420580668, 0.0014593558644474642, 0.0014422338733941639]",Bridge_Pose_105.jpg,correct
"[165.0837101135365, 170.8337699357399, 59.93876570765927, 72.33919578395019, 166.85010840035324, 138.45034936438236, 129.78123835790777, 153.54702981969675, 0.0017743863809449411, 0.0011505846463680015, 0.002382775999164818, 0.0010990355962891252]",Bridge_Pose_107.jpg,correct
"[175.13929837965597, 165.47842732654334, 176.42400517537843, 80.46994508342416, 179.52520327042726, 162.98445388183512, 27.058645665952554, 123.05338886736044, 0.00196049191891769, 0.0003960285882563862, 0.0018910876777230102, 0.00048543742465331384]",Bridge_Pose_110.jpg,correct
"[166.50074433110015, 174.4381696538092, 65.70597838897825, 63.705264229985126, 160.86692845980747, 179.74399019373666, 128.76260996674057, 139.11257772453297, 0.0017748694394432482, 0.0015081675312743341, 0.0016588027939523605, 0.001611980792641376]",Bridge_Pose_111.jpg,correct
"[174.32752841894055, 162.7022841865822, 92.2871328227294, 140.32858306559908, 158.21331099491005, 171.15460261079838, nan, nan, 0.0013375927711161883, 0.0001616367468493132, 0.0030181402260574335, 0.000263422310550314]",Bridge_Pose_112.jpg,correct
"[171.10464827069845, 177.8500602598847, 81.50347823019231, 76.68841137031536, 168.998239232534, 145.70606526112218, 121.7289655446955, 142.6266846251998, 0.0007494904648018527, 0.0005528949318875262, 0.000785678724348036, 0.0009009057880647943]",Bridge_Pose_113.jpg,correct
"[179.4683606717734, 171.453699649211, 165.955677741195, 173.21096243318658, 171.93720337566344, 176.4320312513237, 158.7714914651586, 150.82620141438144, 0.001213655574524244, 0.0009854543240453036, 0.0012933539014198204, 0.0020118964493673116]",Bridge_Pose_114.jpg,correct
"[149.32069544172475, 179.51362987468315, 75.79041564566023, 79.27408715408991, 173.61966441539656, 165.64459935480716, 125.50175342245689, 133.95519636864998, 0.0008981300226604999, 0.000924695415195567, 0.0010729848655657876, 0.0010803638362386733]",Bridge_Pose_117.jpg,correct
"[175.83998315993122, 174.6107194967402, 169.48722185827066, 74.16443468721829, 167.42540927498464, 150.6665484998471, 141.39618061120115, 146.67009617552793, 0.0012372973983145311, 0.0009271422736938932, 0.0012053390146469756, 0.001862838435740225]",Bridge_Pose_118.jpg,correct
"[167.6348625208578, 171.86078195730963, 131.963095942118, 147.92861322204172, 107.79089595156834, 13.973024606069, 127.19174168125504, 127.81983836516402, 0.0006597833041630692, 0.00036873607432119946, 0.0012238792721023211, 0.0009876767178936107]",Bridge_Pose_119.jpg,correct
"[100.82011353714239, 137.9073287659801, 80.74121905326443, 33.98633533447884, 158.6148475532084, 133.7889669705796, nan, nan, 0.0011175868356752482, 0.00026960862099553864, 0.002455310490016122, 0.0006277786273164652]",Bridge_Pose_12.jpg,correct
"[169.39130748861805, 38.01936888074706, 68.44516789467417, 95.65470626723997, 137.48990200150035, 8.518736058814945, 77.34915343809573, 134.1442732428059, 0.0008216662679006761, 0.000903204729886657, 0.0008937942164669632, 0.0010111181101751625]",Bridge_Pose_120.jpg,correct
"[172.4553965156801, 167.82099194021723, 66.25379067177808, 84.64734994358032, 175.75098294906476, 149.59797832793805, 109.01812279621097, 133.06702203277067, 0.0005695070869890536, 0.0005212011870958475, 0.0006967092030266947, 0.0006491628646178969]",Bridge_Pose_121.jpg,correct
"[179.26111086244023, 156.19975713286195, 65.66238755835326, 71.24688097727986, 177.5505505382858, 157.8701045228939, 144.41535231817258, 173.33306243904897, 0.0008458365237724835, 0.0007094508395790275, 0.0006817662246276584, 0.0008217961278839763]",Bridge_Pose_122.jpg,correct
"[148.524939609855, 178.53106614959788, 64.10117555121093, 136.16896318217945, 148.8264299890036, 161.06129558505057, nan, nan, 0.0018404301719159887, 0.00023328220355023344, 0.0027582818778716586, 0.0005952326698026409]",Bridge_Pose_123.jpg,correct
"[157.43090419820336, 176.5945232177245, 63.76424589170542, 147.2485797757059, 151.50353200931184, 160.37687712871892, nan, nan, 0.002144333616662919, 0.00019135342691691294, 0.002368471710202669, 0.0006585495911037649]",Bridge_Pose_124.jpg,correct
"[176.0675802117866, 172.56021801093283, 94.29096897555517, 100.50446625379699, 139.652110458679, 133.93114317021204, 163.52529665420937, 152.66182680657644, 0.0013462309465931835, 0.0008782256112572047, 0.0012417022269558702, 0.001539055603009888]",Bridge_Pose_125.jpg,correct
"[168.6654477820683, 165.57802964607163, 40.214543561888995, 24.055219812885724, 157.97405561383678, 172.63670622825018, nan, nan, 0.002185103356740521, 0.0004273353756786796, 0.002510473439462815, 0.0004164035518335316]",Bridge_Pose_126.jpg,correct
