Feature_Vector,Image,Label
"[177.80958942114088, 172.72279856554988, 77.03296982489286, 146.9739603125114, 167.23423484870088, 176.13292698666265, nan, nan, 0.0011085415548591608, 0.00010575713353111743, 0.0015506142870872447, 0.000383749453796323]",Cobra_Pose_0.jpg,correct
"[136.1333834363807, 131.07532766787364, 175.54623258195525, 148.04901249414772, 178.01819864008448, 145.25910905477005, 146.90524265224917, 106.78782375877711, 0.0011165101840701554, 0.0009836008036327936, 0.001101252582410654, 0.0018566999081427785]",Cobra_Pose_100.jpg,correct
"[24.84668662994312, 170.21777984429104, 170.7963676034245, 152.17946608987103, 169.12617490266857, 166.5603736706052, 170.28510662705577, 153.1565988362981, 0.00011756458833664056, 0.0007258861939172384, 0.000876298574505427, 0.0013574240504586985]",Cobra_Pose_101.jpg,correct
"[165.64910234533315, 167.30620568160217, 173.55383932484708, 174.48229956506813, 161.51450486350768, 177.19920215046312, 24.193972484394436, 177.01510862809684, 0.0006776277708084005, 0.000574036224854893, 0.0006144046850390735, 0.0009989011520167039]",Cobra_Pose_103.jpg,correct
"[159.99039650375715, 154.22846978845624, 162.14444800931972, 118.30074291811884, 167.5447375082899, 154.59082510444173, 174.8451368685799, 162.90916323844357, 0.00155018203404549, 0.0005332689271584113, 0.0013596493260391667, 0.0012016627940482907]",Cobra_Pose_105.jpg,correct
"[166.2926888414078, 146.7661594616234, 178.2670262020884, 177.2449994566046, 133.94036821966796, 165.6879988498055, 156.08900790593967, 161.82983525522792, 0.0004268346511417748, 0.000705056846100148, 0.0008861884681213795, 0.001418117388202113]",Cobra_Pose_106.jpg,correct
"[165.75198673623794, 170.9296856142429, 159.95172064152703, 157.33355920510706, 150.90248837087046, 168.7463281330331, 163.9186214696044, 161.2100768972997, 0.0014335855117442653, 0.0009171159946699491, 0.0011004280680364312, 0.0016861313285433093]",Cobra_Pose_107.jpg,correct
"[125.10497185896955, 131.28133333527427, 139.07174617509173, 120.10965881216984, 177.5902834632582, 156.68278709176516, 91.74809023877397, 79.77756828394061, 0.0007917734625143, 0.0006901173625396079, 0.0013830036014499587, 0.0007741091753567694]",Cobra_Pose_108.jpg,correct
"[114.29052351291881, 91.30493977386139, 172.14080908391142, 152.66209487853445, 148.45104722415053, 169.62451950188319, 151.2312011590826, 78.18218869837382, 0.0005888600312103327, 0.0005803820328139904, 0.0007093180265482867, 0.001139953087030572]",Cobra_Pose_11.jpg,correct
"[160.5288816941434, 79.6812729256268, 178.60127399893898, 170.02833357830443, 151.52407707185446, 168.69674049625672, 157.81408459055535, 135.43008762638163, 0.000857379742275158, 0.000717139198659801, 0.001218563576390744, 0.0014212880579195701]",Cobra_Pose_113.jpg,correct
"[177.03878942997417, 166.13790036741673, 137.37854214883546, 162.09949640869888, 166.38796854498273, 166.36291128359088, 164.50716796546047, 159.91355070761765, 0.0006141734203370127, 0.0004268113607738031, 0.0005071998202573487, 0.0007325113202757719]",Cobra_Pose_114.jpg,correct
"[158.80704254274426, 168.38448089177086, 146.04138908869066, 156.1279427374383, 173.121345718074, 164.28224035094317, 162.1103139643135, 140.84573977626087, 0.0015907839458633283, 0.0008797206919366841, 0.0013873698392000606, 0.0016567745323514541]",Cobra_Pose_117.jpg,correct
"[105.02214210711924, 97.17753637943844, 78.04846572373263, 4.4210511658433305, 171.01222227098754, 113.48514121958307, nan, nan, 0.0009731956414914494, 0.00015002214361005878, 0.0024858965581814607, 0.0003705584342320161]",Cobra_Pose_118.jpg,incorrect
"[151.05377085422245, 158.59269710060667, 161.88509159785698, 158.88945355027425, 162.7420096006042, 162.1362999697238, 178.18877687873388, 173.3897047479557, 0.0017651767696311507, 0.00040545143362463943, 0.0011703283501270203, 0.0010289704202518842]",Cobra_Pose_119.jpg,correct
"[170.80706898558213, 167.43006621063319, 75.89115133501005, 77.78003572205151, 134.7879076232917, 141.1744867074571, nan, nan, 0.0017309182697569803, 0.00013061633273302677, 0.0011953452653441176, 0.0001554145610497618]",Cobra_Pose_12.jpg,correct
"[169.41668237814693, 167.47188596060423, 97.59952259141453, 123.06970405995611, 170.78980668025156, 172.06279639695663, 157.0119511975094, 126.40123939343651, 0.0007911172419335265, 0.00028640470473624595, 0.0004583116341163893, 0.00045836676639781775]",Cobra_Pose_120.jpg,correct
"[173.32687424851235, 165.05921711193486, 154.34736576708536, 150.31729708876261, 176.30593609848694, 171.5941937539761, 118.36774604497936, 128.4081834330659, 0.0017633718112576066, 0.0011514016461320101, 0.0015280874727040213, 0.0020625542853052272]",Cobra_Pose_121.jpg,correct
"[179.1648821800638, 140.09852994789762, 57.137227956384464, 94.90820895120409, 170.1498174471076, 148.26454848300543, 146.0700560505387, 143.30093744843805, 0.0010484478831028932, 0.0002604294418638543, 0.0007573515198319902, 0.0003554604554088174]",Cobra_Pose_122.jpg,correct
"[9.055030166378549, 171.58967421064906, 169.38561472253164, 153.24020510788148, 122.41680625185468, 169.53507268557152, 137.39650160224483, 148.93032220817548, 0.00019393880180854501, 0.0005744389982332763, 0.0009396316105718694, 0.0010633180658518456]",Cobra_Pose_123.jpg,correct
"[172.37253668395743, 170.80954818383694, 162.42122275998298, 159.11242427446254, 123.07813311476029, 131.41064779947112, 157.31115319422014, 156.83707401569913, 0.0022106425308052223, 0.001261007183455865, 0.0019266265961522615, 0.002678362405127962]",Cobra_Pose_125.jpg,correct
"[175.26135578523747, 166.7958088362314, 128.1105749962914, 109.55853852242288, 164.97563795997095, 173.7499977588607, 85.87295465019997, 140.94041386158872, 0.001987780202874944, 0.0009732080731344932, 0.0011373421774438302, 0.001634346965503787]",Cobra_Pose_126.jpg,correct
"[170.54581803905947, 144.52160451964338, 72.74211884838455, nan, 167.38794535967338, 168.60728359442456, nan, nan, 0.0018356073001818954, 0.00021251547145055655, 0.0017212921112572945, 0.00020296711432512518]",Cobra_Pose_127.jpg,correct
"[17.231397062126277, 48.24176658955959, 179.7622719181272, 176.0922203454082, 178.47241615867665, 151.1787236244775, 145.7179437082192, 142.47807673185943, 5.1322990165281806e-05, 0.0008680357655270478, 0.0008604949925879831, 0.0015836805021965349]",Cobra_Pose_128.jpg,correct
"[168.80215353038244, 179.58270464025443, 120.73452203450512, 147.64236153742445, 171.41838140316608, 168.6935032570536, 166.04199208909833, 161.14280556152355, 0.0016181949891858579, 0.0007949445516230422, 0.0011782885533682627, 0.0013497751657222507]",Cobra_Pose_129.jpg,correct
"[171.9239836072146, 156.4050962954222, 167.58817917997484, 137.52975323257505, 173.63401937599707, 153.58006316549915, 44.556156551913666, 94.19821659428963, 0.0012623450300745982, 0.0010098029420742526, 0.001002651662284011, 0.001872350055001126]",Cobra_Pose_130.jpg,correct
"[176.58047181130837, 131.8801550327284, 174.12738311136923, 149.6481182298275, 152.02248847923175, 168.87141632304917, 141.8374583896538, 62.283832158253745, 0.0018410118199337674, 0.0012675372892167402, 0.0013391062252146343, 0.002256816479702291]",Cobra_Pose_131.jpg,correct
"[175.09411821071805, 169.29808930944876, 44.991560873210304, 112.9826469793283, 152.75145123053863, 168.8854748430488, nan, nan, 0.0019152790775245083, 8.003147149108084e-05, 0.002247487204856579, 0.0003072650139001743]",Cobra_Pose_132.jpg,correct
"[169.42005552779165, 177.20072808201118, 136.08769809949538, 118.62177071667953, 162.8302885769714, 161.55637514477473, 40.52496865914765, 71.98354295518942, 0.0018576491013307672, 0.0007283988227678769, 0.001454076164052122, 0.001269191551863378]",Cobra_Pose_133.jpg,correct
"[167.94939340246526, 175.0557470208389, 93.69980803100117, 108.80120385431944, 166.6403446802275, 165.06770789629962, 103.54942656562663, 5.76861391495589, 0.0013852314124166122, 0.0005437170191148961, 0.0009509678090915869, 0.0006070233651275184]",Cobra_Pose_134.jpg,correct
"[73.63741177143149, 74.31231206066843, 177.49375909060188, 177.02597110178672, 131.87375868899383, 143.7931772306701, 140.0846370021923, 149.90063799758877, 0.0007904764707818445, 0.0010746994280295134, 0.0011913563502038839, 0.002154099744549302]",Cobra_Pose_135.jpg,correct
"[164.45390819259538, 80.34840988069494, 20.963917561677004, 46.21922271864477, 166.34564768956062, 9.148322017503425, 139.6070362756168, 132.62328892980224, 0.0013518864734686459, 0.0010127293488126415, 0.0012640068643506308, 0.0006357039846779715]",Cobra_Pose_137.jpg,correct
"[169.8207666196325, 172.4125850692421, 154.2130947902671, 157.67698745788653, 172.18035876894828, 176.66727145132174, 147.09997870157198, 146.06890543259044, 0.0014161087974853789, 0.0009730758252488965, 0.0012045170203248223, 0.0018286094517179874]",Cobra_Pose_138.jpg,correct
"[165.82000407881344, 155.6451407811097, 175.67940042835474, 112.19154910273343, 178.2200097691887, 161.73591856310478, 140.36974771307734, 85.99791352187832, 0.001143179545249445, 0.0008903132120471309, 0.0010117399457750384, 0.001540869840153245]",Cobra_Pose_139.jpg,correct
"[125.38659814718243, 129.02269324967142, 178.56799650586555, 142.1217732261618, 166.55441716944935, 167.34159401665735, 106.78661752510128, 87.66050802143127, 0.000937599701108714, 0.0007913989146261011, 0.0008856000487830871, 0.0015075621404278263]",Cobra_Pose_14.jpg,correct
"[130.3035237166466, 121.19529522194794, 28.59676831911413, 173.07173304974773, 163.78602566540027, 148.9524149233113, 154.89054106272522, 152.51784105865363, 0.0013676570700345667, 0.00030788886896425323, 0.0012176865941298767, 0.00020795312134101282]",Cobra_Pose_140.jpg,correct
"[166.46160049726467, 166.92699501403195, 167.04031467221878, 134.32048083039092, 31.392012841211546, 157.35412986143567, 162.66245056925837, 155.8433927752367, 0.000572459625439148, 0.0007691525870153437, 0.0012154515193624497, 0.001236517918668434]",Cobra_Pose_141.jpg,correct
"[136.57796135616255, 143.84520653882822, 119.80844691060491, 104.07863895947584, 147.29195407885575, 160.19869994992672, 144.70295919842485, 166.28614045184003, 0.0019172602908435004, 0.0010764024564019392, 0.0013671398481975366, 0.0017431662295091573]",Cobra_Pose_142.jpg,correct
"[46.63593060402196, 106.7893402012318, 122.922465451236, 141.68534677218392, 167.55451413316072, 114.75578856917603, nan, nan, 0.00014733148032597737, 6.352968410693583e-05, 0.0013638833302936943, 0.00020804827857497283]",Cobra_Pose_143.jpg,correct
"[172.9910183306495, 165.6340995688337, 11.151957025552798, 138.932123793161, 137.4913539327362, 144.97778232756372, 152.17679146741568, 156.3979978855104, 0.0013094563912024262, 0.00041807416765935997, 0.001162731917155837, 0.00024727158465462866]",Cobra_Pose_144.jpg,correct
"[67.13084795643951, 62.198280209202544, 103.13076722871853, 15.979495841591316, 148.9071136284171, 146.24642025596265, nan, nan, 0.0006179755493229383, 0.0001268828649886887, 0.0027145360041537984, 0.000371330164919721]",Cobra_Pose_145.jpg,correct
"[177.7958253151249, 159.5261779819841, 165.40208470605705, 122.85620245688794, 174.90797109034781, 169.09067321768552, 126.25459955670397, 72.88668936530857, 0.0018864904606899332, 0.0013941746682100097, 0.0015402748593343, 0.002621706288193674]",Cobra_Pose_146.jpg,correct
"[113.36921737893157, 137.35694214773264, 165.44452621911827, 162.5246214306647, 171.57645444470836, 156.1034482039015, 143.215105050888, 149.77580851921087, 0.0013752879189143875, 0.0009482511418769732, 0.0011917421486224355, 0.0019582263542104006]",Cobra_Pose_147.jpg,correct
"[148.0770732189331, 112.12656555144687, 55.13321304911659, 69.95022704859387, 109.41881065062843, 105.651725718095, 152.84024316454162, 142.18421821143204, 0.0007793702780899926, 0.0004037864500270778, 0.0008305050819196337, 0.0004244220303093682]",Cobra_Pose_148.jpg,correct
"[179.13388418889377, 169.6614443780274, 173.65831845324522, 170.73675794181915, 143.6886677735718, 178.76848321323266, 138.37950766532023, 156.9058812643886, 0.0011362618204123751, 0.000989936376359087, 0.001223172721651182, 0.0020512884049432066]",Cobra_Pose_15.jpg,correct
"[54.223955788122986, 171.10373171006256, 61.50812981563737, 73.2555465857262, 174.35455001809711, 172.40355296780956, 146.8067391769434, 144.91694517337174, 0.00021336612291589176, 0.0005264482477358438, 0.0008281501415572507, 0.0005271125817683164]",Cobra_Pose_150.jpg,correct
